Дженет Кларк в 2004 году получила Шнобелевскую премию за опрос, посвященный этому правилу. Оказалось, что более 60 процентов людей им во время инцидента с едой. Кроме того, к печению сладостей оно применяется чаще, чем к брокколи или шпинату. Что это за правило?;"Правило 5 секунд;"
Они обычно располагаются между первыми и вторыми. Их называют наполовину первыми, но с не меньшим основанием их можно было бы назвать наполовину вторыми. В классических схемах их число варьируется от 2-х до 4-х. Кто же они?;"Полузащитники;"
Американская мудрость гласит: «Будь вежлив с каждым. Никогда не известно, кто попадет в число двенадцати…» Закончите пословицу.;"Присяжных;"
В желудке крокодила находится до 5 кг камней. Раньше считалось, что камни способствуют перевариванию пищи. Но выяснилось, что они нужны совсем для другого. Для чего?;"Для балласта;"
Данный вид спорта считается самым древним в истории Олимпийских игр. Считают, что он уходит корнями к доисторическим временам, когда от него зависела жизнь. О каком виде спорта речь?;"Бег;"
Ежегодно в Китае выбрасывается около 100 миллиардов их, что приводит к большому перерасходу древесины, поэтому с 2006 года в КНР ввели налог на их продажу. Впрочем, объем их продаж, а также экспорт в Японию от этой меры сократились не очень сильно. О чем идет речь?;"Палочки для еды;"
Эта страна не только одной из первых поддержала СССР в войне против нацистской Германии, но и оплатила формирование танковой колонны, эскадрильи самолетов, отправила Советскому Союзу около 500 тысяч лошадей и даже караван верблюдов с зимним обмундированием;"Монголия;"
На заседании Парламента США политик Билл Лонг необычно прервал тираду активистки, начав быстро и ритмично перечислять разные числа, заполняя все паузы между словами. Эту тактику Билл применял на своем предыдущем месте работы, мотивируя клиентов торопиться и совершать необдуманные с экономической точки зрения действия. Где до парламента работал Билл?;"Аукцион;"
В 1812 году ряд дворян и представителей высшего общества учились делать это, в частности, из-за обострившегося инстинкта самосохранения. Получалось не у всех. Известно, что с этим испытывали проблемы даже некоторые декабристы;"Говорить по-русски;"
В 2011 году в Apple Store появилось приложение ММ. Оно предназначалось для одной простой проверки: сначала нужно было поднести смартфон микрофоном к объекту, а потом сделать три звонких удара, на основе которых приложение выдавало результат. Поддержка приложения прекратилась, возможно, потому, что оно было сезонным. Что проверяло приложение?;"Спелость арбуза;"
;
